2024-05-27T01:56:23.120+05:30 DEBUG 9508 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-05-27T01:56:23.125+05:30 DEBUG 9508 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled (queueDepth=0).
2024-05-27T01:56:28.628+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@1b593ae8: (connection has passed maxLifetime)
2024-05-27T01:56:28.682+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:28.694+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@574137ee
2024-05-27T01:56:36.546+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@352a16bf: (connection has passed maxLifetime)
2024-05-27T01:56:36.565+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:36.570+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@72fbe3a7
2024-05-27T01:56:37.953+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@5081cc6a: (connection has passed maxLifetime)
2024-05-27T01:56:37.965+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:37.969+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@33c6e99c
2024-05-27T01:56:41.129+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@6697a759: (connection has passed maxLifetime)
2024-05-27T01:56:41.152+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:41.178+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@23ffba4
2024-05-27T01:56:41.349+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@4e0d0609: (connection has passed maxLifetime)
2024-05-27T01:56:41.368+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:41.372+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@53e916d3
2024-05-27T01:56:44.205+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@7c0089bc: (connection has passed maxLifetime)
2024-05-27T01:56:44.224+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:44.229+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@27922055
2024-05-27T01:56:53.127+05:30 DEBUG 9508 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-05-27T01:56:53.127+05:30 DEBUG 9508 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled (queueDepth=0).
2024-05-27T01:56:57.629+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@14f6bddb: (connection has passed maxLifetime)
2024-05-27T01:56:57.642+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
2024-05-27T01:56:57.645+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@70b5baec
2024-05-27T01:57:09.483+05:30 DEBUG 9508 --- [HikariPool-1 connection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection com.mysql.cj.jdbc.ConnectionImpl@3d3d8387: (connection has passed maxLifetime)
2024-05-27T01:57:09.497+05:30 DEBUG 9508 --- [HikariPool-1 connection adder] jdk.event.security                       :  TLSHandshake: localhost:3306, TLSv1.3, TLS_AES_256_GCM_SHA384, -1418576639
