"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
1,"ADROITINFO","Adroit Infotech Limited","INE737B01033","LTASM - I (13)"
2,"AGNI","Agni Green Power Limited","INE0LF301013","LTASM - I (13)"
3,"AJOONI","Ajooni Biotech Limited","INE820Y01021","LTASM - I (13)"
4,"AKASH","Akash Infra Projects Limited","INE737W01013","LTASM - I (13)"
5,"AKASH","Akash Infra-Projects Limited","INE737W01013","LTASM - I (13)"
6,"ANANDRATHI","Anand Rathi Wealth Limited","INE463V01026","LTASM - I (13)"
7,"ANIKINDS","Anik Industries Limited","INE087B01017","LTASM - I (13)"
8,"APOLLO","Apollo Micro Systems Limited","INE713T01028","LTASM - II (14)"
9,"ARVIND","Arvind Limited","INE034A01011","LTASM - I (13)"
10,"ASHAPURMIN","Ashapura Minechem Limited","INE348A01023","LTASM - I (13)"
11,"ASIANENE","Asian Energy Services Limited","INE276G01015","LTASM - I (13)"
12,"ASMS","Bartronics India Limited","INE855F01042","LTASM - II (14)"
13,"AURIONPRO","Aurionpro Solutions Limited","INE132H01018","LTASM - III (15)"
14,"AVG","AVG Logistics Limited","INE680Z01018","LTASM - I (13)"
15,"AZAD","Azad Engineering Limited","INE02IJ01035","LTASM - I (13)"
16,"BASML","Bannari Amman Spinning Mills Limited","INE186H01022","LTASM - I (13)"
17,"BBL","Bharat Bijlee Limited","INE464A01036","LTASM - I (13)"
18,"BCONCEPTS","Brand Concepts Limited","INE977Y01011","LTASM - I (13)"
19,"BSE","BSE Limited","INE118H01025","LTASM - I (13)"
20,"BYKE","The Byke Hospitality Ltd","INE319B01014","LTASM - I (13)"
21,"CHEMFAB","Chemfab Alkalis Limited","INE783X01023","LTASM - I (13)"
22,"COMSYN","Commercial Syn Bags Limited","INE073V01015","LTASM - I (13)"
23,"CONTI","Continental Seeds and Chemicals Limited","INE340Z01019","LTASM - II (14)"
24,"CUPID","Cupid Limited","INE509F01029","LTASM - IV (16)"
25,"DBCORP","D.B.Corp Limited","INE950I01011","LTASM - II (14)"
26,"DHANBANK","Dhanlaxmi Bank Limited","INE680A01011","LTASM - III (15)"
27,"DOLATALGO","Dolat Algotech Limited","INE966A01022","LTASM - I (13)"
28,"DOLPHIN","Dolphin Offshore Enterprises (India) Limited","INE920A01037","LTASM - IV (16)"
29,"DRONE","Drone Destination Limited","INE0P7201019","LTASM - I (13)"
30,"DSSL","Dynacons Systems & Solutions Limited","INE417B01040","LTASM - I (13)"
