"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
1,"21STCENMGM","21st Century Management Services Limited","INE253B01015","ESM - II (35)"
2,"AARTECH","Aartech Solonics Limited","INE01C001018","ESM - II (35)"
3,"ABAN","Aban Offshore Limited","INE421A01028","ESM - I (34)"
4,"AKSHAR","Akshar Spintex Limited","INE256Z01025","ESM - I (34)"
5,"AKSHOPTFBR","Aksh Optifibre Limited","INE523B01011","ESM - I (34)"
6,"ALMONDZ","Almondz Global Securities Limited","INE326B01027","ESM - I (34)"
7,"ALPSINDUS","Alps Industries Limited","INE093B01015","ESM II & GSM 0 (37)"
8,"ANTGRAPHIC","Antarctica Limited","INE414B01021","ESM - I (34)"
9,"ARCHIDPLY","Archidply Industries Limited","INE877I01016","ESM - I (34)"
10,"ARCHIES","Archies Limited","INE731A01020","ESM - I (34)"
11,"ARSHIYA","Arshiya Limited","INE968D01022","ESM - I (34)"
12,"ARTNIRMAN","Art Nirman Limited","INE738V01013","ESM - I (34)"
13,"ARVEE","Arvee Laboratories (India) Limited","INE006Z01016","ESM - I (34)"
14,"ASHOKAMET","Ashoka Metcast Limited","INE760Y01011","ESM - I (34)"
15,"ASTRON","Astron Paper & Board Mill Limited","INE646X01014","ESM - I (34)"
16,"ATALREAL","Atal Realtech Limited","INE0ALR01029","ESM - I (34)"
17,"ATLANTAA","Atlantaa Limited","INE285H01022","ESM - I (34)"
18,"BAGFILMS","B.A.G Films And Media Limited","INE116D01028","ESM - I (34)"
19,"BANKA","Banka Bioloo Limited","INE862Y01015","ESM - I (34)"
20,"BGLOBAL","Bharatiya Global Infomedia Limited","INE224M01013","ESM - I (34)"
21,"BGRENERGY","Bgr Energy Systems Limited","INE661I01014","ESM - I (34)"
22,"BIL","Bhartiya International Limited","INE828A01016","ESM - I (34)"
23,"BKMINDST","Bkm Industries Limited","INE831Q01016","ESM II & GSM 0 (37)"
24,"BLBLIMITED","Blb Limited","INE791A01024","ESM - I (34)"
25,"BLUECHIP","Blue Chip India Limited","INE657B01025","ESM II & GSM 0 (37)"
26,"BOHRAIND","Bohra Industries Limited","INE802W01023","ESM - I (34)"
27,"BRNL","Bharat Road Network Limited","INE727S01012","ESM - I (34)"
28,"BROOKS","Brooks Laboratories Limited","INE650L01011","ESM - I (34)"
29,"CENTEXT","Century Extrusions Limited","INE281A01026","ESM - I (34)"
30,"CEREBRAINT","Cerebra Integrated Technologies Limited","INE345B01019","ESM - I (34)"
31,"CORALFINAC","Coral India Finance & Housing Limited","INE558D01021","ESM - I (34)"
32,"CROWN","Crown Lifters Limited","INE491V01019","ESM - II (35)"
33,"CTE","Cambridge Technology Enterprises Limited","INE627H01017","ESM - II (35)"
34,"CUBEXTUB","Cubex Tubings Limited","INE144D01012","ESM - II (35)"
35,"CYBERMEDIA","Cyber Media (India) Limited","INE278G01037","ESM - I (34)"
36,"DHRUV","Dhruv Consultancy Services Limited","INE506Z01015","ESM - I (34)"
37,"DIACABS","Diamond Power Infrastructure Limited","INE989C01020","ESM - II (35)"
38,"DIGIDRIVE","Digidrive Distributors Limited","INE0PSC01024","ESM - I (34)"
39,"DJML","Dj Mediaprint & Logistics Limited","INE0B1K01014","ESM - I (34)"
40,"DUCON","Ducon Infratechnologies Limited","INE741L01018","ESM - I (34)"
41,"ELECTHERM","Electrotherm (India) Limited","INE822G01016","ESM - II (35)"
42,"ESSENTIA","Integra Essentia Limited","INE418N01035","ESM - II (35)"
43,"EUROTEXIND","Eurotex Industries And Exports Limited","INE022C01012","ESM I & GSM 0 (36)"
44,"FMNL","Future Market Networks Limited","INE360L01017","ESM - I (34)"
45,"GANGAFORGE","Ganga Forging Limited","INE691Z01023","ESM - I (34)"
46,"GATECH","Gacm Technologies Limited","INE224E01028","ESM I & GSM 0 (36)"
47,"GATECHDVR","Gacm Technologies Limited","INE224E01036","ESM I & GSM 0 (36)"
48,"GILLANDERS","Gillanders Arbuthnot & Company Limited","INE047B01011","ESM - I (34)"
49,"GLFL","Gujarat Lease Financing Limited","INE540A01017","ESM I & GSM 0 (36)"
50,"GLOBAL","Global Education Limited","INE291W01029","ESM - I (34)"
51,"GLOBALVECT","Global Vectra Helicorp Limited","INE792H01019","ESM - II (35)"
52,"GOKUL","Gokul Refoils And Solvent Limited","INE020J01029","ESM - I (34)"
53,"GOYALALUM","Goyal Aluminiums Limited","INE705X01026","ESM - I (34)"
54,"GTECJAINX","G-Tec Jainx Education Limited","INE586X01012","ESM I & GSM 0 (36)"
55,"GTL","Gtl Limited","INE043A01012","ESM - I (34)"
56,"HEADSUP","Heads Up Ventures Limited","INE759V01019","ESM - I (34)"
57,"HINDCON","Hindcon Chemicals Limited","INE642Y01029","ESM - II (35)"
58,"ICDSLTD","Icds Limited","INE613B01010","ESM - I (34)"
59,"IL&FSENGG","Il&Fs Engineering And Construction Company Limited","INE369I01014","ESM - I (34)"
60,"IMPEXFERRO","Impex Ferro Tech Limited","INE691G01015","ESM - I (34)"
61,"INDSWFTLTD","Ind-Swift Limited","INE788B01028","ESM - II (35)"
62,"INVENTURE","Inventure Growth & Securities Limited","INE878H01024","ESM - I (34)"
63,"IVP","Ivp Limited","INE043C01018","ESM - I (34)"
64,"JAIPURKURT","Nandani Creation Limited","INE696V01013","ESM - I (34)"
65,"JHS","Jhs Svendgaard Laboratories Limited","INE544H01014","ESM - I (34)"
66,"JMA","Jullundur Motor Agency (Delhi) Limited","INE412C01023","ESM - I (34)"
67,"KANANIIND","Kanani Industries Limited","INE879E01037","ESM - I (34)"
68,"KARMAENG","Karma Energy Limited","INE725L01011","ESM - II (35)"
69,"KEEPLEARN","Dsj Keep Learning Limited","INE055C01020","ESM I & GSM 0 (36)"
70,"KEYFINSERV","Keynote Financial Services Limited","INE681C01015","ESM - I (34)"
71,"KRIDHANINF","Kridhan Infra Limited","INE524L01026","ESM II & GSM 0 (37)"
72,"KRITIKA","Kritika Wires Limited","INE00Z501029","ESM - II (35)"
