"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ASIL","Amit Spinning Industries Limited","INE988A01026","GSM - VI (6)"
2,"ATNINTER","ATN International Limited","INE803A01027","GSM - VI (6)"
3,"BINANIIND","Binani Industries Limited","INE071A01013","GSM - 0 (99)"
4,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","GSM - IV (4)"
5,"CMICABLES","CMI Limited","INE981B01011","IBC - Receipt & GSM 0 (62)"
6,"DCMFINSERV","DCM Financial Services Limited","INE891B01012","GSM - 0 (99)"
7,"DGCONTENT","Digicontent Limited","INE03JI01017","GSM - III (3)"
8,"EASTSILK","Eastern Silk Industries Limited","INE962C01027","GSM - 0 (99)"
9,"EDUCOMP","Educomp Solutions Limited","INE216H01027","GSM - 0 (99)"
10,"EQUIPPP","Equippp Social Impact Technologies Limited","INE217G01035","IBC - Receipt & GSM 0 (62)"
11,"FCONSUMER","Future Consumer Limited","INE220J01025","GSM - I (1)"
12,"FEL","Future Enterprises Limited","INE623B01027","IBC - Receipt & GSM 0 (62)"
13,"FELDVR","Future Enterprises Limited","IN9623B01058","IBC - Receipt & GSM 0 (62)"
14,"FRETAIL","Future Retail Limited","INE752P01024","IBC I & GSM 0 (58)"
15,"FSC","Future Supply Chain Solutions Limited","INE935Q01015","IBC - Receipt & GSM 0 (62)"
16,"GANGOTRI","Gangotri Textiles Limited","INE670B01028","GSM - 0 (99)"
17,"GAYAHWS","Gayatri Highways Limited","INE287Z01012","GSM - II (2)"
18,"GFSTEELS","Grand Foundry Limited","INE534A01028","GSM - IV (4)"
19,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","IBC I & GSM 0 (58)"
20,"HCL-INSYS","HCL Infosystems Limited","INE236A01020","GSM - 0 (99)"
21,"IL&FSTRANS","IL&FS Transportation Networks Limited","INE975G01012","GSM - 0 (99)"
22,"INFOMEDIA","Infomedia Press Limited","INE669A01022","GSM - II (2)"
23,"INSPIRISYS","Inspirisys Solutions Limited","INE020G01017","GSM - IV (4)"
24,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","IBC - Receipt & GSM 0 (62)"
25,"MASKINVEST","Mask Investments Limited","INE885F01015","GSM - II (2)"
26,"MBECL","Mcnally Bharat Engineering Company Limited","INE748A01016","STASM I & GSM 0 (54)"
27,"METALFORGE","Metalyst Forgings Limited","INE425A01011","GSM - 0 (99)"
28,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","GSM - 0 (99)"
29,"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","INE245I01016","GSM - I (1)"
30,"NEXTMEDIA","Next Mediaworks Limited","INE747B01016","LTASM I & GSM 0 (50)"
31,"OMKARCHEM","Omkar Speciality Chemicals Limited","INE474L01016","IBC - Receipt & GSM 0 (62)"
32,"ORTEL","Ortel Communications Limited","INE849L01019","IBC I & GSM 0 (58)"
33,"ORTINLAB","Ortin Laboratories Limited","INE749B01020","GSM - 0 (99)"
34,"PREMIER","Premier Limited","INE342A01018","IBC I & GSM 0 (58)"
35,"QUINTEGRA","Quintegra Solutions Limited","INE033B01011","GSM - 0 (99)"
36,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","GSM - I (1)"
37,"RAJVIR","Rajvir Industries Limited","INE011H01014","GSM - 0 (99)"
38,"SADBHIN","Sadbhav Infrastructure Project Limited","INE764L01010","High promoter/Non Promoter Encumbrance & GSM 0 (56)"
39,"SANCO","Sanco Industries Limited","INE782L01012","IBC I & GSM 0 (58)"
40,"SETUINFRA","Setubandhan Infrastructure Limited","INE023M01027","IBC I & GSM 0 (58)"
41,"SILLYMONKS","Silly Monks Entertainment Limited","INE203Y01012","LTASM I & GSM 0 (50)"
42,"SPTL","Sintex Plastics Technology Limited","INE501W01021","IBC I & GSM 0 (58)"
43,"TCIFINANCE","TCI Finance Limited","INE911B01018","GSM - 0 (99)"
44,"UMESLTD","Usha Martin Education & Solutions Limited","INE240C01028","GSM - 0 (99)"
45,"UNIVAFOODS","Univa Foods Limited","INE275F01019","GSM - IV (4)"
46,"VISUINTL","Visu International Limited","INE965A01016","GSM - VI (6)"
47,"WILLAMAGOR","Williamson Magor & Company Limited","INE210A01017","GSM - 0 (99)"
